,player_name,age_at_transfer,positions,league,value($m),year_of_transfer,country
0,Lucas Alario,24,Centre-Forward,Bundesliga,27.36,17/18,Germany
1,Leonardo Balerdi,19,Centre-Back,Bundesliga,17.67,18/19,Germany
2,Sebastián Driussi,21,Centre-Forward,Premier Liga,17.1,17/18,Russia
3,Lautaro Martínez,20,Centre-Forward,Serie A,15.96,18/19,Italy
4,Maximiliano Meza,26,Attacking Midfield,Liga MX Clausura,14.99,18/19,Mexico
5,Juan Foyth,19,Centre-Back,Premier League,14.82,17/18,England
6,Ramiro Funes Mori,24,Centre-Back,Premier League,14.71,15/16,England
7,Rodrigo Bentancur,20,Central Midfield,Serie A,14.25,17/18,Italy
8,Ezequiel Barco,18,Left Winger,MLS,14.0,17/18,United States
9,Marcelo Saracchi,20,Left-Back,Bundesliga,13.68,18/19,Germany
10,Maximiliano Romero,18,Centre-Forward,Eredivisie,13.68,17/18,Netherlands
11,Jonathan Calleri,22,Centre-Forward,Segunda División - Segunda Fase,12.54,15/16,Uruguay
12,Carlos Tévez,32,Second Striker,Super League,11.97,16/17,China
13,Santiago Cáseres,21,Defensive Midfield,LaLiga,11.4,18/19,Spain
14,Giovani Lo Celso,20,Central Midfield,Ligue 1,11.4,16/17,France
15,Marcos Acuña,25,Left-Back,Liga NOS,10.93,17/18,Portugal
16,Lisandro Magallán,25,Centre-Back,Eredivisie,10.26,18/19,Netherlands
17,Emiliano Rigoni,24,Right Winger,Premier Liga,10.26,17/18,Russia
18,Guido Carrillo,24,Centre-Forward,Ligue 1,10.26,15/16,France
19,Roger Martínez,22,Centre-Forward,Super League,10.15,16/17,China
20,Nicólas González,20,Centre-Forward,Bundesliga,9.69,18/19,Germany
21,Emanuel Mammana,20,Centre-Back,Ligue 1,9.69,16/17,France
22,Gustavo Gómez,23,Centre-Back,Serie A,9.69,16/17,Italy
23,Óscar Romero,24,Attacking Midfield,Super League,9.58,16/17,China
24,Joaquín Correa,20,Left Winger,Serie A,9.58,14/15,Italy
