,player_id,player_name,club,birthday,age,foot,position_id,squad_num,total_xG,pen_attempts,total_xA,total_xG+xA,goals,xG_goal_diff,xG+xA/90,transfer_value(USD),total_minutes_played
0,24256.0,Emmanuel Gigliotti,Squad Club Atlético Independiente,"May 20, 1987 (31)",31,right,Forward,9.0,6.590000152587891,0.0,2.85,9.44,12.0,5.41,0.68,3.43,1247.97
1,16081.0,Luis Rodríguez,Squad Club Atlético Tucumán,"Jan 1, 1985 (33)",33,right,Forward,7.0,6.380000114440918,4.0,1.56,7.94,8.0,1.62,0.78,1.71,917.9
2,20195.0,Sebastián Ribas,Squad Club Atlético Lanús,"Mar 11, 1988 (30)",30,right,Forward,37.0,6.190000057220459,1.0,1.37,7.56,5.0,-1.19,0.58,1.71,1166.28
3,488.0,Lisandro López,Squad Racing Club,"Mar 2, 1983 (35)",35,right,Forward,15.0,6.159999847412109,3.0,1.09,7.25,11.0,4.84,0.58,2.01,1118.53
4,31939.0,Santiago García,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Sep 14, 1990 (28)",28,right,Forward,18.0,5.059999942779541,1.0,1.52,6.58,5.0,-0.06,0.51,6.86,1159.57
5,17217.0,Jonatan Cristaldo,Squad Racing Club,"Mar 5, 1989 (29)",29,right,Forward,9.0,4.880000114440918,0.0,1.54,6.42,3.0,-1.88,0.61,1.37,944.97
6,101.0,Darío Cvitanich,Squad Club Atlético Banfield,"May 16, 1984 (34)",34,right,Forward,20.0,4.639999866485596,2.0,0.88,5.52,5.0,0.36,0.44,1.71,1141.55
7,15113.0,Claudio Bieler,Squad Club Atlético San Martín (Tucumán),"Mar 1, 1984 (34)",34,right,Forward,9.0,4.46999979019165,1.0,1.16,5.63,3.0,-1.47,0.38,0.57,1349.02
8,93853.0,Franco Soldano,Squad Club Atlético Unión (Santa Fe),"Sep 14, 1994 (24)",24,right,Forward,27.0,4.420000076293945,0.0,1.91,6.33,2.0,-2.42,0.46,5.71,1240.35
9,39414.0,Fernando Zampedri,Squad Club Atlético Rosario Central,"Feb 14, 1988 (30)",30,right,Forward,20.0,4.400000095367432,0.0,2.77,7.17,4.0,-0.4,0.67,3.43,966.07
10,203.0,Mariano Pavone,Squad Club Estudiantes de La Plata,"May 27, 1982 (36)",36,both,Forward,16.0,4.289999961853027,1.0,2.05,6.34,3.0,-1.29,0.7,0.46,814.65
11,98292.0,Facundo Barceló,Squad Club Atlético Patronato de la Juventud Católica,"Mar 31, 1993 (25)",25,right,Forward,31.0,4.019999980926514,1.0,1.58,5.6,6.0,1.98,0.73,0.57,688.92
