,player_id,player_name,club,birthday,age,foot,position_id,squad_num,total_xG,pen_attempts,total_xA,total_xG+xA,goals,xG_goal_diff,xG+xA/90,transfer_value(USD),total_minutes_played
0,16081.0,Luis Rodríguez,Squad Club Atlético Tucumán,"Jan 1, 1985 (33)",33,right,Forward,7.0,6.26,4.0,1.58,7.84,8.0,1.74,0.77,1.71,917.9
1,24256.0,Emmanuel Gigliotti,Squad Club Atlético Independiente,"May 20, 1987 (31)",31,right,Forward,9.0,6.05,0.0,2.68,8.73,12.0,5.95,0.63,3.43,1247.97
2,488.0,Lisandro López,Squad Racing Club,"Mar 2, 1983 (35)",35,right,Forward,15.0,5.85,3.0,1.15,7.0,11.0,5.15,0.56,2.01,1118.53
3,20195.0,Sebastián Ribas,Squad Club Atlético Lanús,"Mar 11, 1988 (30)",30,right,Forward,37.0,5.75,1.0,1.22,6.97,5.0,-0.75,0.54,1.71,1166.28
4,31939.0,Santiago García,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Sep 14, 1990 (28)",28,right,Forward,18.0,4.64,1.0,1.39,6.03,5.0,0.36,0.47,6.86,1159.57
5,17217.0,Jonatan Cristaldo,Squad Racing Club,"Mar 5, 1989 (29)",29,right,Forward,9.0,4.49,0.0,1.41,5.9,3.0,-1.49,0.56,1.37,944.97
6,101.0,Darío Cvitanich,Squad Club Atlético Banfield,"May 16, 1984 (34)",34,right,Forward,20.0,4.41,2.0,0.86,5.27,5.0,0.59,0.42,1.71,1141.55
7,15113.0,Claudio Bieler,Squad Club Atlético San Martín (Tucumán),"Mar 1, 1984 (34)",34,right,Forward,9.0,4.12,1.0,1.02,5.14,3.0,-1.12,0.34,0.57,1349.02
8,203.0,Mariano Pavone,Squad Club Estudiantes de La Plata,"May 27, 1982 (36)",36,both,Forward,16.0,4.1,1.0,1.94,6.04,3.0,-1.1,0.67,0.46,814.65
9,39414.0,Fernando Zampedri,Squad Club Atlético Rosario Central,"Feb 14, 1988 (30)",30,right,Forward,20.0,4.09,0.0,2.62,6.71,4.0,-0.09,0.63,3.43,966.07
10,93853.0,Franco Soldano,Squad Club Atlético Unión (Santa Fe),"Sep 14, 1994 (24)",24,right,Forward,27.0,4.06,0.0,1.77,5.83,2.0,-2.06,0.42,5.71,1240.35
11,3148.0,Santiago Silva,Squad Club de Gimnasia y Esgrima La Plata,"Dec 9, 1980 (37)",37,right,Forward,9.0,3.78,1.0,2.52,6.3,4.0,0.22,0.53,0.34,1071.9
12,98292.0,Facundo Barceló,Squad Club Atlético Patronato de la Juventud Católica,"Mar 31, 1993 (25)",25,right,Forward,31.0,3.77,1.0,1.45,5.22,6.0,2.23,0.68,0.57,688.92
13,135386.0,Leonardo Sequeira,Squad Club Atlético Belgrano,"Apr 26, 1995 (23)",23,right,Forward,26.0,3.76,2.0,0.36,4.12,2.0,-1.76,0.37,1.71,1000.88
14,17266.0,Mauricio Sperduti,Squad Club Atlético Patronato de la Juventud Católica,"Feb 16, 1986 (32)",32,right,Midfielder,14.0,3.31,2.0,0.72,4.03,3.0,-0.31,0.34,0.57,1071.05
15,30266.0,Cristian Chávez,Squad Club Atlético Aldosivi,"Jun 4, 1987 (31)",31,right,Forward,11.0,3.26,1.0,0.93,4.19,5.0,1.74,0.35,0.57,1088.27
16,9146.0,Germán Herrera,Squad Club Atlético Rosario Central,"Jul 19, 1983 (35)",35,right,Forward,17.0,3.21,0.0,2.53,5.74,2.0,-1.21,1.13,0.34,457.05
17,172565.0,Nicolás Reniero,Squad Club Atlético San Lorenzo de Almagro,"Mar 18, 1995 (23)",23,right,Forward,15.0,3.19,0.0,2.01,5.2,3.0,-0.19,0.44,2.29,1057.33
18,193188.0,Gastón Togni,Squad Club Social y Deportivo Defensa y Justicia,"Sep 20, 1997 (21)",21,left,Midfielder,7.0,3.12,0.0,1.03,4.15,3.0,-0.12,0.33,0.17,1115.33
19,87323.0,Ricardo Centurión,Squad Racing Club,"Jan 19, 1993 (25)",25,right,Forward,10.0,2.98,1.0,1.18,4.16,3.0,0.02,0.48,5.71,787.35
20,47913.0,Javier Correa,Squad Club Atlético Colón,"Oct 23, 1992 (26)",26,right,Forward,11.0,2.91,1.0,0.34,3.25,3.0,0.09,0.28,4.57,1062.7
21,36681.0,Víctor Figueroa,Squad Club Atlético Newell's Old Boys,"Sep 29, 1983 (35)",35,right,Midfielder,16.0,2.89,1.0,0.31,3.2,1.0,-1.89,0.36,0.23,794.48
22,114108.0,Nicolás Fernández,Squad Club Social y Deportivo Defensa y Justicia,"Feb 8, 1996 (22)",22,right,Forward,29.0,2.89,0.0,1.63,4.52,4.0,1.11,0.4,3.43,1023.72
23,163041.0,Alexander Barboza,Squad Club Social y Deportivo Defensa y Justicia,"Mar 16, 1995 (23)",23,left,Defender,6.0,2.72,1.0,1.27,3.99,1.0,-1.72,0.33,2.86,1090.52
24,55210.0,Nicolás Blandi,Squad Club Atlético San Lorenzo de Almagro,"Jan 13, 1990 (28)",28,right,Forward,9.0,2.71,0.0,1.0,3.71,4.0,1.29,0.79,6.29,422.92
25,8907.0,Federico González,Squad Club Atlético Tigre,"Jan 6, 1987 (31)",31,right,Forward,9.0,2.7,0.0,0.58,3.28,4.0,1.3,0.4,0.91,744.9
26,150346.0,Pablo Alvarenga,Squad Club Atlético San Martín (SJ),"Jun 22, 1988 (30)",30,-,Forward,33.0,2.68,0.0,1.4,4.08,3.0,0.32,0.54,,682.37
27,117606.0,Junior Arias,Squad Club Atlético Talleres,"May 17, 1993 (25)",25,right,Forward,9.0,2.51,0.0,0.98,3.49,4.0,1.49,0.32,2.29,982.67
28,55267.0,Fernando Gaibor,Squad Club Atlético Independiente,"Oct 8, 1991 (27)",27,right,Midfielder,10.0,2.49,2.0,0.45,2.94,2.0,-0.49,0.28,2.29,948.22
29,185745.0,Lucas Robertone,Squad Club Atlético Vélez Sarsfield,"Mar 18, 1997 (21)",21,right,Midfielder,16.0,2.42,0.0,1.34,3.76,3.0,0.58,0.35,3.43,965.52
30,121341.0,Héctor Fértoli,Squad Club Atlético Newell's Old Boys,"Dec 3, 1994 (24)",24,right,Midfielder,26.0,2.42,0.0,1.13,3.55,4.0,1.58,0.31,0.8,1019.45
31,39578.0,Lucas Gamba,Squad Club Atlético Huracán,"Jun 24, 1987 (31)",31,right,Forward,21.0,2.4,1.0,1.58,3.98,5.0,2.6,0.39,2.01,915.42
32,172801.0,Nahuel Bustos,Squad Club Atlético Talleres,"Jul 4, 1998 (20)",20,right,Forward,7.0,2.3,0.0,0.91,3.21,5.0,2.7,0.34,0.06,857.9
33,193168.0,Tomás Belmonte,Squad Club Atlético Lanús,"May 27, 1998 (20)",20,right,Midfielder,13.0,2.25,0.0,1.34,3.59,2.0,-0.25,0.26,0.46,1260.0
34,17090.0,Mauro Formica,Squad Club Atlético Newell's Old Boys,"Apr 4, 1988 (30)",30,right,Midfielder,33.0,2.21,0.0,0.72,2.93,1.0,-1.21,0.32,2.06,824.42
35,17135.0,Matías Suárez,Squad Club Atlético Belgrano,"May 9, 1988 (30)",30,both,Forward,10.0,2.17,0.0,1.33,3.5,2.0,-0.17,0.3,2.86,1034.2
36,167990.0,Luís Leal,Squad Club Atlético Newell's Old Boys,"May 29, 1987 (31)",31,right,Forward,7.0,2.17,0.0,1.51,3.68,1.0,-1.17,0.39,1.37,842.68
