,Unnamed: 0,player_id,player_name,club,birthday,age,foot,position_id,squad_num,total_xG,total_xA,total_xG+xA,goals,xG+xA/90,transfer_value(USD),total_minutes_played
0,0,24256.0,Emmanuel Gigliotti,Squad Club Atlético Independiente,"May 20, 1987 (31)",31,right,Forward,9.0,6.239999771118164,2.84,9.08,12.0,0.84,3.43,977.97
1,1,488.0,Lisandro López,Squad Racing Club,"Mar 2, 1983 (35)",35,right,Forward,15.0,5.260000228881836,1.27,6.53,9.0,0.63,2.01,937.47
2,2,16081.0,Luis Rodríguez,Squad Club Atlético Tucumán,"Jan 1, 1985 (33)",33,right,Forward,7.0,5.010000228881836,1.55,6.56,7.0,0.71,1.71,827.9
3,3,101.0,Darío Cvitanich,Squad Club Atlético Banfield,"May 16, 1984 (34)",34,right,Forward,20.0,4.730000019073486,1.17,5.9,5.0,0.55,1.71,969.08
4,4,93853.0,Franco Soldano,Squad Club Atlético Unión (Santa Fe),"Sep 14, 1994 (24)",24,right,Forward,27.0,4.25,2.27,6.52,2.0,0.55,5.71,1060.35
5,5,17217.0,Jonatan Cristaldo,Squad Racing Club,"Mar 5, 1989 (29)",29,right,Forward,9.0,4.2199997901916495,1.16,5.38,3.0,0.62,1.37,782.38
6,6,20195.0,Sebastián Ribas,Squad Club Atlético Lanús,"Mar 11, 1988 (30)",30,right,Forward,37.0,3.880000114440918,0.77,4.65,3.0,0.45,1.71,931.73
7,7,15113.0,Claudio Bieler,Squad Club Atlético San Martín (Tucumán),"Mar 1, 1984 (34)",34,right,Forward,9.0,3.869999885559082,0.98,4.85,3.0,0.37,0.57,1169.02
8,8,30266.0,Cristian Chávez,Squad Club Atlético Aldosivi,"Jun 4, 1987 (31)",31,right,Forward,11.0,3.869999885559082,1.12,4.99,4.0,0.45,0.57,998.27
9,9,98292.0,Facundo Barceló,Squad Club Atlético Patronato de la Juventud Católica,"Mar 31, 1993 (25)",25,right,Forward,31.0,3.859999895095825,1.42,5.28,6.0,0.79,0.57,598.92
